countyfips,buyer_county,buyer_state,average_population_per_year
20003,ANDERSON,KS,8052
20005,ATCHISON,KS,16809
20007,BARBER,KS,4876
20009,BARTON,KS,27507
20011,BOURBON,KS,15036
20013,BROWN,KS,10021
20015,BUTLER,KS,64487
20017,CHASE,KS,2844
20019,CHAUTAUQUA,KS,3747
20021,CHEROKEE,KS,21668
20023,CHEYENNE,KS,2784
20025,CLARK,KS,2203
20027,CLAY,KS,8557
20029,CLOUD,KS,9502
20031,COFFEY,KS,8562
20033,COMANCHE,KS,1871
20035,COWLEY,KS,35844
20037,CRAWFORD,KS,38954
20039,DECATUR,KS,3005
20041,DICKINSON,KS,19549
20043,DONIPHAN,KS,7929
20045,DOUGLAS,KS,109716
20047,EDWARDS,KS,3062
20049,ELK,KS,2938
20051,ELLIS,KS,27935
20053,ELLSWORTH,KS,6446
20055,FINNEY,KS,36776
20057,FORD,KS,32701
20059,FRANKLIN,KS,25886
20061,GEARY,KS,30373
20063,GOVE,KS,2716
20065,GRAHAM,KS,2659
20067,GRANT,KS,7700
20069,GRAY,KS,5865
20071,GREELEY,KS,1247
20073,GREENWOOD,KS,6839
20075,HAMILTON,KS,2628
20077,HARPER,KS,5994
20079,HARVEY,KS,34041
20081,HASKELL,KS,4171
20083,HODGEMAN,KS,1963
20085,JACKSON,KS,13346
20087,JEFFERSON,KS,18950
20089,JEWELL,KS,3161
20091,JOHNSON,KS,530298
20093,KEARNY,KS,3994
20095,KINGMAN,KS,7933
20097,KIOWA,KS,2669
20099,LABETTE,KS,21800
20101,LANE,KS,1695
20103,LEAVENWORTH,KS,74428
20105,LINCOLN,KS,3305
20107,LINN,KS,9756
20109,LOGAN,KS,2763
20111,LYON,KS,35181
20113,MCPHERSON,KS,29154
20115,MARION,KS,12612
20117,MARSHALL,KS,10145
20119,MEADE,KS,4501
20121,MIAMI,KS,31838
20123,MITCHELL,KS,6368
20125,MONTGOMERY,KS,35225
20127,MORRIS,KS,5946
20129,MORTON,KS,3221
20131,NEMAHA,KS,10239
20133,NEOSHO,KS,16482
20135,NESS,KS,3100
20137,NORTON,KS,5660
20139,OSAGE,KS,16430
20141,OSBORNE,KS,3900
20143,OTTAWA,KS,6093
20145,PAWNEE,KS,6839
20147,PHILLIPS,KS,5550
20149,POTTAWATOMIE,KS,20573
20151,PRATT,KS,9633
20153,RAWLINS,KS,2592
20155,RENO,KS,63900
20157,REPUBLIC,KS,5046
20159,RICE,KS,10137
20161,RILEY,KS,69231
20163,ROOKS,KS,5234
20165,RUSH,KS,3273
20167,RUSSELL,KS,6880
20169,SALINE,KS,54832
20171,SCOTT,KS,4801
20173,SEDGWICK,KS,483940
20175,SEWARD,KS,22604
20177,SHAWNEE,KS,175199
20179,SHERIDAN,KS,2565
20181,SHERMAN,KS,5996
20183,SMITH,KS,3937
20185,STAFFORD,KS,4419
20187,STANTON,KS,2187
20189,STEVENS,KS,5455
20191,SUMNER,KS,24181
20193,THOMAS,KS,7705
20195,TREGO,KS,2968
20197,WABAUNSEE,KS,6974
20199,WALLACE,KS,1492
20201,WASHINGTON,KS,5855
20203,WICHITA,KS,2239
20205,WILSON,KS,9610
20207,WOODSON,KS,3353
20209,WYANDOTTE,KS,155128
21001,ADAIR,KY,18435
21003,ALLEN,KY,19573
21005,ANDERSON,KY,21080
21007,BALLARD,KY,8224
21009,BARREN,KY,41560
21011,BATH,KY,11587
21013,BELL,KY,28833
21015,BOONE,KY,114389
21017,BOURBON,KY,19907
21019,BOYD,KY,49205
21021,BOYLE,KY,28340
21023,BRACKEN,KY,8499
21025,BREATHITT,KY,14422
21027,BRECKINRIDGE,KY,19782
21029,BULLITT,KY,72623
21031,BUTLER,KY,12860
21033,CALDWELL,KY,12913
21035,CALLOWAY,KY,36663
21037,CAMPBELL,KY,88733
21039,CARLISLE,KY,5131
21041,CARROLL,KY,10680
21043,CARTER,KY,27711
21045,CASEY,KY,15992
21047,CHRISTIAN,KY,73578
21049,CLARK,KY,35296
21051,CLAY,KY,22452
21053,CLINTON,KY,10054
21055,CRITTENDEN,KY,9289
21057,CUMBERLAND,KY,6922
21059,DAVIESS,KY,95159
21061,EDMONSON,KY,12060
21063,ELLIOTT,KY,7570
21065,ESTILL,KY,14755
21067,FAYETTE,KY,287952
21069,FLEMING,KY,14377
21071,FLOYD,KY,40246
21073,FRANKLIN,KY,49019
21075,FULTON,KY,6864
21077,GALLATIN,KY,8363
21079,GARRARD,KY,16836
21081,GRANT,KY,24678
21083,GRAVES,KY,37059
21085,GRAYSON,KY,25515
21087,GREEN,KY,11404
21089,GREENUP,KY,37035
21091,HANCOCK,KY,8564
21093,HARDIN,KY,100367
21095,HARLAN,KY,29864
21097,HARRISON,KY,18711
21099,HART,KY,18228
21101,HENDERSON,KY,45849
21103,HENRY,KY,15524
21105,HICKMAN,KY,4937
21107,HOPKINS,KY,46792
21109,JACKSON,KY,13543
21111,JEFFERSON,KY,726606
21113,JESSAMINE,KY,46799
21115,JOHNSON,KY,23403
21117,KENTON,KY,157775
21119,KNOTT,KY,16675
21121,KNOX,KY,31828
21123,LARUE,KY,14005
21125,LAUREL,KY,57997
21127,LAWRENCE,KY,15916
21129,LEE,KY,7792
21131,LESLIE,KY,11506
21133,LETCHER,KY,24365
21135,LEWIS,KY,13960
21137,LINCOLN,KY,24809
21139,LIVINGSTON,KY,9524
21141,LOGAN,KY,26855
21143,LYON,KY,8368
21145,MCCRACKEN,KY,65168
21147,MCCREARY,KY,18116
21149,MCLEAN,KY,9654
21151,MADISON,KY,81556
21153,MAGOFFIN,KY,13250
21155,MARION,KY,19567
21157,MARSHALL,KY,31333
21159,MARTIN,KY,13163
21161,MASON,KY,17336
21163,MEADE,KY,28790
21165,MENIFEE,KY,6476
21167,MERCER,KY,21327
21169,METCALFE,KY,10131
21171,MONROE,KY,11167
21173,MONTGOMERY,KY,25768
21175,MORGAN,KY,14084
21177,MUHLENBERG,KY,31500
21179,NELSON,KY,42489
21181,NICHOLAS,KY,7099
21183,OHIO,KY,23817
21185,OLDHAM,KY,58381
21187,OWEN,KY,10987
21189,OWSLEY,KY,4735
21191,PENDLETON,KY,14890
21193,PERRY,KY,28781
21195,PIKE,KY,65319
21197,POWELL,KY,12915
21199,PULASKI,KY,61737
21201,ROBERTSON,KY,2264
21203,ROCKCASTLE,KY,17013
21205,ROWAN,KY,22993
21207,RUSSELL,KY,17388
21209,SCOTT,KY,44520
21211,SHELBY,KY,40834
21213,SIMPSON,KY,17184
21215,SPENCER,KY,16598
21217,TAYLOR,KY,24224
21219,TODD,KY,12258
21221,TRIGG,KY,13981
21223,TRIMBLE,KY,8884
21225,UNION,KY,15093
21227,WARREN,KY,108890
21229,WASHINGTON,KY,11568
21231,WAYNE,KY,20698
21233,WEBSTER,KY,13752
21235,WHITLEY,KY,36346
21237,WOLFE,KY,7271
21239,WOODFORD,KY,24489
22001,ACADIA,LA,60885
22003,ALLEN,LA,25771
22005,ASCENSION,LA,101896
22007,ASSUMPTION,LA,23396
22009,AVOYELLES,LA,42004
22011,BEAUREGARD,LA,34978
22013,BIENVILLE,LA,14591
22015,BOSSIER,LA,113207
22017,CADDO,LA,252980
22019,CALCASIEU,LA,188387
22021,CALDWELL,LA,10214
22023,CAMERON,LA,7365
22025,CATAHOULA,LA,10460
22027,CLAIBORNE,LA,17011
22029,CONCORDIA,LA,20243
22031,DE SOTO,LA,26454
22033,EAST BATON ROUGE,LA,434463
22035,EAST CARROLL,LA,8007
22037,EAST FELICIANA,LA,20468
22039,EVANGELINE,LA,34594
22041,FRANKLIN,LA,20625
22043,GRANT,LA,21338
22045,IBERIA,LA,73614
22047,IBERVILLE,LA,33405
22049,JACKSON,LA,15932
22051,JEFFERSON,LA,432414
22053,JEFFERSON DAVIS,LA,31429
22055,LAFAYETTE,LA,213874
22057,LAFOURCHE,LA,95052
22059,LA SALLE,LA,14575
22061,LINCOLN,LA,45322
22063,LIVINGSTON,LA,121773
22065,MADISON,LA,12237
22067,MOREHOUSE,LA,28430
22069,NATCHITOCHES,LA,39199
22071,ORLEANS,LA,298219
22073,OUACHITA,LA,151860
22075,PLAQUEMINES,LA,22754
22077,POINTE COUPEE,LA,22769
22079,RAPIDES,LA,130995
22081,RED RIVER,LA,9168
22083,RICHLAND,LA,20671
22085,SABINE,LA,24060
22087,SAINT BERNARD,LA,29047
22089,SAINT CHARLES,LA,52445
22091,SAINT HELENA,LA,11014
22093,SAINT JAMES,LA,21917
22095,ST JOHN THE BAPTIST,LA,46774
22097,SAINT LANDRY,LA,85333
22099,SAINT MARTIN,LA,51709
22101,SAINT MARY,LA,53812
22103,SAINT TAMMANY,LA,228431
22105,TANGIPAHOA,LA,117576
22107,TENSAS,LA,5475
22109,TERREBONNE,LA,110671
22111,UNION,LA,22742
22113,VERMILION,LA,57034
22115,VERNON,LA,49823
22117,WASHINGTON,LA,46278
22119,WEBSTER,LA,41171
22121,WEST BATON ROUGE,LA,23145
22123,WEST CARROLL,LA,11666
22125,WEST FELICIANA,LA,15597
22127,WINN,LA,15471
23001,ANDROSCOGGIN,ME,107736
23003,AROOSTOOK,ME,72338
23005,CUMBERLAND,ME,279422
23007,FRANKLIN,ME,30513
23009,HANCOCK,ME,54169
23011,KENNEBEC,ME,121733
23013,KNOX,ME,40252
23015,LINCOLN,ME,34728
23017,OXFORD,ME,57664
23019,PENOBSCOT,ME,152232
23021,PISCATAQUIS,ME,17482
23023,SAGADAHOC,ME,35826
23025,SOMERSET,ME,52105
23027,WALDO,ME,38679
23029,WASHINGTON,ME,33090
23031,YORK,ME,198151
24001,ALLEGANY,MD,74248
24003,ANNE ARUNDEL,MD,525011
24005,BALTIMORE,MD,797736
24009,CALVERT,MD,87904
24011,CAROLINE,MD,32764
24013,CARROLL,MD,167496
24015,CECIL,MD,99959
24017,CHARLES,MD,143482
24019,DORCHESTER,MD,32185
24021,FREDERICK,MD,228620
24023,GARRETT,MD,30071
24025,HARFORD,MD,242587
24027,HOWARD,MD,278774
24029,KENT,MD,20005
24031,MONTGOMERY,MD,946985
24033,PRINCE GEORGES,MD,852267
24035,QUEEN ANNES,MD,46894
24037,SAINT MARYS,MD,101847
24039,SOMERSET,MD,26337
24041,TALBOT,MD,37170
24043,WASHINGTON,MD,146089
24045,WICOMICO,MD,96346
24047,WORCESTER,MD,50835
24510,BALTIMORE CITY,MD,623190
25001,BARNSTABLE,MA,218322
25003,BERKSHIRE,MA,131288
25005,BRISTOL,MA,546274
25007,DUKES,MA,16083
25009,ESSEX,MA,735640
25011,FRANKLIN,MA,71598
25013,HAMPDEN,MA,463166
25015,HAMPSHIRE,MA,157084
25017,MIDDLESEX,MA,1479393
25019,NANTUCKET,MA,10197
25021,NORFOLK,MA,661399
25023,PLYMOUTH,MA,490977
25025,SUFFOLK,MA,707920
25027,WORCESTER,MA,792330
26001,ALCONA,MI,11264
26003,ALGER,MI,9619
26005,ALLEGAN,MI,111624
26007,ALPENA,MI,29940
26009,ANTRIM,MI,24008
26011,ARENAC,MI,16507
26013,BARAGA,MI,8841
26015,BARRY,MI,59490
26017,BAY,MI,108081
26019,BENZIE,MI,17684
26021,BERRIEN,MI,157646
26023,BRANCH,MI,46079
26025,CALHOUN,MI,137113
26027,CASS,MI,52184
26029,CHARLEVOIX,MI,26244
26031,CHEBOYGAN,MI,26731
26033,CHIPPEWA,MI,39048
26035,CLARE,MI,31120
26037,CLINTON,MI,73531
26039,CRAWFORD,MI,14372
26041,DELTA,MI,37433
26043,DICKINSON,MI,26680
26045,EATON,MI,107921
26047,EMMET,MI,32920
26049,GENESEE,MI,433248
26051,GLADWIN,MI,26137
26053,GOGEBIC,MI,16421
26055,GRAND TRAVERSE,MI,85986
26057,GRATIOT,MI,42570
26059,HILLSDALE,MI,46938
26061,HOUGHTON,MI,36027
26063,HURON,MI,33572
26065,INGHAM,MI,281125
26067,IONIA,MI,64631
26069,IOSCO,MI,26411
26071,IRON,MI,12042
26073,ISABELLA,MI,69007
26075,JACKSON,MI,161687
26077,KALAMAZOO,MI,246898
26079,KALKASKA,MI,17388
26081,KENT,MI,600148
26083,KEWEENAW,MI,2138
26085,LAKE,MI,11569
26087,LAPEER,MI,90282
26089,LEELANAU,MI,21765
26091,LENAWEE,MI,100939
26093,LIVINGSTON,MI,181595
26095,LUCE,MI,6683
26097,MACKINAC,MI,11238
26099,MACOMB,MI,836262
26101,MANISTEE,MI,24934
26103,MARQUETTE,MI,66360
26105,MASON,MI,28706
26107,MECOSTA,MI,42667
26109,MENOMINEE,MI,24252
26111,MIDLAND,MI,83531
26113,MISSAUKEE,MI,14984
26115,MONROE,MI,152818
26117,MONTCALM,MI,63465
26119,MONTMORENCY,MI,9962
26121,MUSKEGON,MI,173310
26123,NEWAYGO,MI,49020
26125,OAKLAND,MI,1202255
26127,OCEANA,MI,27167
26129,OGEMAW,MI,21786
26131,ONTONAGON,MI,6961
26133,OSCEOLA,MI,23603
26135,OSCODA,MI,8914
26137,OTSEGO,MI,24394
26139,OTTAWA,MI,261108
26141,PRESQUE ISLE,MI,13712
26143,ROSCOMMON,MI,25015
26145,SAGINAW,MI,202442
26147,SAINT CLAIR,MI,166304
26149,SAINT JOSEPH,MI,61939
26151,SANILAC,MI,43953
26153,SCHOOLCRAFT,MI,8614
26155,SHIAWASSEE,MI,71605
26157,TUSCOLA,MI,56569
26159,VAN BUREN,MI,76761
26161,WASHTENAW,MI,344516
26163,WAYNE,MI,1887651
26165,WEXFORD,MI,32508
27001,AITKIN,MN,16275
27003,ANOKA,MN,327422
27005,BECKER,MN,32224
27007,BELTRAMI,MN,43748
27009,BENTON,MN,38336
27011,BIG STONE,MN,5325
27013,BLUE EARTH,MN,62271
27015,BROWN,MN,25998
27017,CARLTON,MN,34771
27019,CARVER,MN,88576
27021,CASS,MN,28653
27023,CHIPPEWA,MN,12413
27025,CHISAGO,MN,52320
27027,CLAY,MN,56699
27029,CLEARWATER,MN,8539
27031,COOK,MN,5246
27033,COTTONWOOD,MN,11665
27035,CROW WING,MN,61768
27037,DAKOTA,MN,392814
27039,DODGE,MN,19779
27041,DOUGLAS,MN,35923
27043,FARIBAULT,MN,14831
27045,FILLMORE,MN,20985
27047,FREEBORN,MN,31356
27049,GOODHUE,MN,45873
27051,GRANT,MN,6071
27053,HENNEPIN,MN,1136892
27055,HOUSTON,MN,19265
27057,HUBBARD,MN,19975
27059,ISANTI,MN,37847
27061,ITASCA,MN,44753
27063,JACKSON,MN,10479
27065,KANABEC,MN,16347
27067,KANDIYOHI,MN,41711
27069,KITTSON,MN,4609
27071,KOOCHICHING,MN,13461
27073,LAC QUI PARLE,MN,7331
27075,LAKE,MN,10878
27077,LAKE OF THE WOODS,MN,4142
27079,LE SUEUR,MN,27736
27081,LINCOLN,MN,5919
27083,LYON,MN,25477
27085,MCLEOD,MN,36792
27087,MAHNOMEN,MN,5323
27089,MARSHALL,MN,9576
27091,MARTIN,MN,20793
27093,MEEKER,MN,23348
27095,MILLE LACS,MN,26058
27097,MORRISON,MN,33038
27099,MOWER,MN,38734
27101,MURRAY,MN,8736
27103,NICOLLET,MN,32165
27105,NOBLES,MN,20900
27107,NORMAN,MN,6828
27109,OLMSTED,MN,140923
27111,OTTER TAIL,MN,57482
27113,PENNINGTON,MN,13853
27115,PINE,MN,29200
27117,PIPESTONE,MN,9518
27119,POLK,MN,31209
27121,POPE,MN,11049
27123,RAMSEY,MN,502956
27125,RED LAKE,MN,4103
27127,REDWOOD,MN,16002
27129,RENVILLE,MN,16015
27131,RICE,MN,62866
27133,ROCK,MN,9569
27135,ROSEAU,MN,15891
27137,SAINT LOUIS,MN,199042
27139,SCOTT,MN,126095
27141,SHERBURNE,MN,86574
27143,SIBLEY,MN,15191
27145,STEARNS,MN,147556
27147,STEELE,MN,36386
27149,STEVENS,MN,9694
27151,SWIFT,MN,10085
27153,TODD,MN,24672
27155,TRAVERSE,MN,3662
27157,WABASHA,MN,21747
27159,WADENA,MN,13738
27161,WASECA,MN,19245
27163,WASHINGTON,MN,231538
27165,WATONWAN,MN,11182
27167,WILKIN,MN,6619
27169,WINONA,MN,51059
27171,WRIGHT,MN,120061
27173,YELLOW MEDICINE,MN,10442
28001,ADAMS,MS,32528
28003,ALCORN,MS,36540
28005,AMITE,MS,13325
28007,ATTALA,MS,19525
28009,BENTON,MS,8559
28011,BOLIVAR,MS,35417
28013,CALHOUN,MS,14878
28015,CARROLL,MS,10557
28017,CHICKASAW,MS,17872
28019,CHOCTAW,MS,8736
28021,CLAIBORNE,MS,10079
28023,CLARKE,MS,16885
28025,CLAY,MS,20883
28027,COAHOMA,MS,26820
28029,COPIAH,MS,29449
28031,COVINGTON,MS,19668
28033,DESOTO,MS,153665
28035,FORREST,MS,74942
28037,FRANKLIN,MS,8142
28039,GEORGE,MS,22038
28041,GREENE,MS,13930
28043,GRENADA,MS,22287
28045,HANCOCK,MS,42210
28047,HARRISON,MS,181737
28049,HINDS,MS,246758
28051,HOLMES,MS,19722
28053,HUMPHREYS,MS,9671
28055,ISSAQUENA,MS,1732
28057,ITAWAMBA,MS,23278
28059,JACKSON,MS,136182
28061,JASPER,MS,17454
28063,JEFFERSON,MS,8118
28065,JEFFERSON DAVIS,MS,12653
28067,JONES,MS,67113
28069,KEMPER,MS,10381
28071,LAFAYETTE,MS,45466
28073,LAMAR,MS,51752
28075,LAUDERDALE,MS,79140
28077,LAWRENCE,MS,13026
28079,LEAKE,MS,23383
28081,LEE,MS,81267
28083,LEFLORE,MS,33396
28085,LINCOLN,MS,34558
28087,LOWNDES,MS,59430
28089,MADISON,MS,91534
28091,MARION,MS,26526
28093,MARSHALL,MS,36883
28095,MONROE,MS,37238
28097,MONTGOMERY,MS,11179
28099,NESHOBA,MS,29592
28101,NEWTON,MS,21902
28103,NOXUBEE,MS,11756
28105,OKTIBBEHA,MS,46038
28107,PANOLA,MS,34830
28109,PEARL RIVER,MS,55958
28111,PERRY,MS,12222
28113,PIKE,MS,40168
28115,PONTOTOC,MS,29397
28117,PRENTISS,MS,25442
28119,QUITMAN,MS,8593
28121,RANKIN,MS,138412
28123,SCOTT,MS,28312
28125,SHARKEY,MS,5064
28127,SIMPSON,MS,27616
28129,SMITH,MS,16348
28131,STONE,MS,16703
28133,SUNFLOWER,MS,30565
28135,TALLAHATCHIE,MS,14964
28137,TATE,MS,27944
28139,TIPPAH,MS,21880
28141,TISHOMINGO,MS,19467
28143,TUNICA,MS,10747
28145,UNION,MS,26921
28147,WALTHALL,MS,15495
28149,WARREN,MS,48804
28151,WASHINGTON,MS,52939
28153,WAYNE,MS,20977
28155,WEBSTER,MS,10086
28157,WILKINSON,MS,10072
28159,WINSTON,MS,19407
28161,YALOBUSHA,MS,12974
28163,YAZOO,MS,28422
29001,ADAIR,MO,25210
29003,ANDREW,MO,16962
29005,ATCHISON,MO,5844
29007,AUDRAIN,MO,25711
29009,BARRY,MO,35789
29011,BARTON,MO,12656
29013,BATES,MO,17102
29015,BENTON,MO,18905
29017,BOLLINGER,MO,12395
29019,BOONE,MO,157191
29021,BUCHANAN,MO,88176
29023,BUTLER,MO,42262
29025,CALDWELL,MO,9335
29027,CALLAWAY,MO,43647
29029,CAMDEN,MO,42658
29031,CAPE GIRARDEAU,MO,74029
29033,CARROLL,MO,9541
29035,CARTER,MO,6105
29037,CASS,MO,97477
29039,CEDAR,MO,14054
29041,CHARITON,MO,7852
29043,CHRISTIAN,MO,73832
29045,CLARK,MO,7164
29047,CLAY,MO,215159
29049,CLINTON,MO,20693
29051,COLE,MO,74558
29053,COOPER,MO,17549
29055,CRAWFORD,MO,24529
29057,DADE,MO,7862
29059,DALLAS,MO,16793
29061,DAVIESS,MO,8298
29063,DEKALB,MO,12781
29065,DENT,MO,15419
29067,DOUGLAS,MO,13649
29069,DUNKLIN,MO,32071
29071,FRANKLIN,MO,100580
29073,GASCONADE,MO,15333
29075,GENTRY,MO,6698
29077,GREENE,MO,269042
29079,GRUNDY,MO,10195
29081,HARRISON,MO,8902
29083,HENRY,MO,22361
29085,HICKORY,MO,9495
29087,HOLT,MO,4933
29089,HOWARD,MO,10084
29091,HOWELL,MO,39587
29093,IRON,MO,10576
29095,JACKSON,MO,669785
29097,JASPER,MO,114788
29099,JEFFERSON,MO,216038
29101,JOHNSON,MO,52081
29103,KNOX,MO,4120
29105,LACLEDE,MO,35313
29107,LAFAYETTE,MO,33219
29109,LAWRENCE,MO,38206
29111,LEWIS,MO,10195
29113,LINCOLN,MO,51249
29115,LINN,MO,12800
29117,LIVINGSTON,MO,14815
29119,MCDONALD,MO,22972
29121,MACON,MO,15526
29123,MADISON,MO,12278
29125,MARIES,MO,9171
29127,MARION,MO,28504
29129,MERCER,MO,3689
29131,MILLER,MO,24805
29133,MISSISSIPPI,MO,14035
29135,MONITEAU,MO,15408
29137,MONROE,MO,9096
29139,MONTGOMERY,MO,12197
29141,MORGAN,MO,20624
29143,NEW MADRID,MO,18656
29145,NEWTON,MO,57317
29147,NODAWAY,MO,22872
29149,OREGON,MO,10687
29151,OSAGE,MO,13707
29153,OZARK,MO,9634
29155,PEMISCOT,MO,18598
29157,PERRY,MO,18878
29159,PETTIS,MO,41427
29161,PHELPS,MO,44105
29163,PIKE,MO,18591
29165,PLATTE,MO,86971
29167,POLK,MO,30588
29169,PULASKI,MO,48287
29171,PUTNAM,MO,5024
29173,RALLS,MO,10077
29175,RANDOLPH,MO,25507
29177,RAY,MO,23637
29179,REYNOLDS,MO,6651
29181,RIPLEY,MO,13982
29183,SAINT CHARLES,MO,349208
29185,SAINT CLAIR,MO,9690
29186,SAINTE GENEVIEVE,MO,18136
29187,SAINT FRANCOIS,MO,63975
29189,SAINT LOUIS,MO,998865
29195,SALINE,MO,23041
29197,SCHUYLER,MO,4316
29199,SCOTLAND,MO,4824
29201,SCOTT,MO,39573
29203,SHANNON,MO,8383
29205,SHELBY,MO,6438
29207,STODDARD,MO,30019
29209,STONE,MO,31849
29211,SULLIVAN,MO,6738
29213,TANEY,MO,48745
29215,TEXAS,MO,25461
29217,VERNON,MO,20759
29219,WARREN,MO,31390
29221,WASHINGTON,MO,24855
29223,WAYNE,MO,13300
29225,WEBSTER,MO,35661
29227,WORTH,MO,2165
29229,WRIGHT,MO,18640
29510,SAINT LOUIS CITY,MO,323832
30001,BEAVERHEAD,MT,9089
30003,BIG HORN,MT,12682
30005,BLAINE,MT,6484
30007,BROADWATER,MT,5174
30009,CARBON,MT,9952
30011,CARTER,MT,1244
30013,CASCADE,MT,80752
30015,CHOUTEAU,MT,5687
30017,CUSTER,MT,11485
30019,DANIELS,MT,1677
30021,DAWSON,MT,8884
30023,DEER LODGE,MT,9216
30025,FALLON,MT,2811
30027,FERGUS,MT,11452
30029,FLATHEAD,MT,88774
30031,GALLATIN,MT,87604
30033,GARFIELD,MT,1185
30035,GLACIER,MT,13279
30037,GOLDEN VALLEY,MT,879
30039,GRANITE,MT,3021
30041,HILL,MT,16084
30043,JEFFERSON,MT,11137
30045,JUDITH BASIN,MT,2065
30047,LAKE,MT,28455
30049,LEWIS AND CLARK,MT,61382
30051,LIBERTY,MT,2238
30053,LINCOLN,MT,19369
30055,MCCONE,MT,1762
30057,MADISON,MT,7546
30059,MEAGHER,MT,1882
30061,MINERAL,MT,4147
30063,MISSOULA,MT,106998
30065,MUSSELSHELL,MT,4427
30067,PARK,MT,15780
30069,PETROLEUM,MT,527
30071,PHILLIPS,MT,4162
30073,PONDERA,MT,6118
30075,POWDER RIVER,MT,1705
30077,POWELL,MT,7077
30079,PRAIRIE,MT,1098
30081,RAVALLI,MT,40055
30083,RICHLAND,MT,9473
30085,ROOSEVELT,MT,10269
30087,ROSEBUD,MT,9141
30089,SANDERS,MT,11305
30091,SHERIDAN,MT,3472
30093,SILVER BOW,MT,33633
30095,STILLWATER,MT,8871
30097,SWEET GRASS,MT,3712
30099,TETON,MT,6117
30101,TOOLE,MT,5110
30103,TREASURE,MT,792
30105,VALLEY,MT,7295
30107,WHEATLAND,MT,2097
30109,WIBAUX,MT,977
30111,YELLOWSTONE,MT,143455
31001,ADAMS,NE,31370
31003,ANTELOPE,NE,6733
31005,ARTHUR,NE,441
31007,BANNER,NE,736
31009,BLAINE,NE,513
31011,BOONE,NE,5546
31013,BOX BUTTE,NE,11337
31015,BOYD,NE,2100
31017,BROWN,NE,3200
31019,BUFFALO,NE,45362
31021,BURT,NE,6976
31023,BUTLER,NE,8376
31025,CASS,NE,25286
31027,CEDAR,NE,8853
31029,CHASE,NE,3896
31031,CHERRY,NE,5779
31033,CHEYENNE,NE,10029
31035,CLAY,NE,6519
31037,COLFAX,NE,10164
31039,CUMING,NE,9264
31041,CUSTER,NE,10980
31043,DAKOTA,NE,20580
31045,DAWES,NE,9085
31047,DAWSON,NE,24313
31049,DEUEL,NE,1974
31051,DIXON,NE,6027
31053,DODGE,NE,36490
31055,DOUGLAS,NE,504363
31057,DUNDY,NE,1989
31059,FILLMORE,NE,5966
31061,FRANKLIN,NE,3220
31063,FRONTIER,NE,2778
31065,FURNAS,NE,4899
31067,GAGE,NE,22636
31069,GARDEN,NE,2016
31071,GARFIELD,NE,2022
31073,GOSPER,NE,2040
31075,GRANT,NE,648
31077,GREELEY,NE,2514
31079,HALL,NE,56675
31081,HAMILTON,NE,9179
31083,HARLAN,NE,3448
31085,HAYES,NE,1006
31087,HITCHCOCK,NE,2915
31089,HOLT,NE,10449
31091,HOOKER,NE,711
31093,HOWARD,NE,6329
31095,JEFFERSON,NE,7689
31097,JOHNSON,NE,5189
31099,KEARNEY,NE,6565
31101,KEITH,NE,8287
31103,KEYA PAHA,NE,813
31105,KIMBALL,NE,3784
31107,KNOX,NE,8728
31109,LANCASTER,NE,278731
31111,LINCOLN,NE,36049
31113,LOGAN,NE,726
31115,LOUP,NE,615
31117,MCPHERSON,NE,481
31119,MADISON,NE,34695
31121,MERRICK,NE,7751
31123,MORRILL,NE,5055
31125,NANCE,NE,3728
31127,NEMAHA,NE,7215
31129,NUCKOLLS,NE,4577
31131,OTOE,NE,15705
31133,PAWNEE,NE,2751
31135,PERKINS,NE,2953
31137,PHELPS,NE,9231
31139,PIERCE,NE,7302
31141,PLATTE,NE,31663
31143,POLK,NE,5371
31145,RED WILLOW,NE,11022
31147,RICHARDSON,NE,8443
31149,ROCK,NE,1563
31151,SALINE,NE,14069
31153,SARPY,NE,151265
31155,SAUNDERS,NE,20476
31157,SCOTTS BLUFF,NE,36530
31159,SEWARD,NE,16624
31161,SHERIDAN,NE,5515
31163,SHERMAN,NE,3116
31165,SIOUX,NE,1333
31167,STANTON,NE,6233
31169,THAYER,NE,5244
31171,THOMAS,NE,710
31173,THURSTON,NE,6957
31175,VALLEY,NE,4286
31177,WASHINGTON,NE,20090
31179,WAYNE,NE,9527
31181,WEBSTER,NE,3774
31183,WHEELER,NE,772
31185,YORK,NE,13941
32001,CHURCHILL,NV,24884
32003,CLARK,NV,1883491
32005,DOUGLAS,NV,46874
32007,ELKO,NV,47548
32009,ESMERALDA,NV,869
32011,EUREKA,NV,1677
32013,HUMBOLDT,NV,16202
32015,LANDER,NV,5466
32017,LINCOLN,NV,4962
32019,LYON,NV,51413
32021,MINERAL,NV,4791
32023,NYE,NV,43692
32027,PERSHING,NV,6642
32029,STOREY,NV,4045
32031,WASHOE,NV,411596
32033,WHITE PINE,NV,9649
32510,CARSON CITY,NV,55350
33001,BELKNAP,NH,60296
33003,CARROLL,NH,47743
33005,CHESHIRE,NH,77414
33007,COOS,NH,33259
33009,GRAFTON,NH,87915
33011,HILLSBOROUGH,NH,400006
33013,MERRIMACK,NH,147039
33015,ROCKINGHAM,NH,295014
33017,STRAFFORD,NH,122075
33019,SULLIVAN,NH,43464
34001,ATLANTIC,NJ,272619
34003,BERGEN,NJ,895441
