countyfips,buyer_county,buyer_state,average_pills_per_year
19189,WINNEBAGO,IA,325947
19191,WINNESHIEK,IA,253193
19193,WOODBURY,IA,2039042
19195,WORTH,IA,61990
19197,WRIGHT,IA,421361
20001,ALLEN,KS,750143
20003,ANDERSON,KS,213347
20005,ATCHISON,KS,773569
20007,BARBER,KS,174313
20009,BARTON,KS,1238277
20011,BOURBON,KS,713171
20013,BROWN,KS,588821
20015,BUTLER,KS,3134286
20019,CHAUTAUQUA,KS,117451
20021,CHEROKEE,KS,771816
20023,CHEYENNE,KS,119183
20025,CLARK,KS,144384
20027,CLAY,KS,384849
20029,CLOUD,KS,438350
20031,COFFEY,KS,452034
20033,COMANCHE,KS,130820
20035,COWLEY,KS,1636933
20037,CRAWFORD,KS,1762664
20039,DECATUR,KS,93661
20041,DICKINSON,KS,499357
20045,DOUGLAS,KS,2954694
20047,EDWARDS,KS,44643
20049,ELK,KS,105029
20051,ELLIS,KS,1097769
20053,ELLSWORTH,KS,188414
20055,FINNEY,KS,867483
20057,FORD,KS,947244
20059,FRANKLIN,KS,1057323
20061,GEARY,KS,970534
20063,GOVE,KS,68100
20065,GRAHAM,KS,103857
20067,GRANT,KS,168041
20069,GRAY,KS,94101
20071,GREELEY,KS,72604
20073,GREENWOOD,KS,299927
20075,HAMILTON,KS,53956
20077,HARPER,KS,206066
20079,HARVEY,KS,1339571
20081,HASKELL,KS,55129
20083,HODGEMAN,KS,66514
20085,JACKSON,KS,296596
20087,JEFFERSON,KS,209593
20089,JEWELL,KS,57931
20091,JOHNSON,KS,23740813
20093,KEARNY,KS,57026
20095,KINGMAN,KS,299127
20097,KIOWA,KS,27598
20099,LABETTE,KS,1224859
20101,LANE,KS,53530
20103,LEAVENWORTH,KS,16860190
20105,LINCOLN,KS,87183
20107,LINN,KS,264206
20109,LOGAN,KS,57900
20111,LYON,KS,996339
20113,MCPHERSON,KS,1000833
20115,MARION,KS,304264
20117,MARSHALL,KS,364604
20119,MEADE,KS,77960
20121,MIAMI,KS,1234069
20123,MITCHELL,KS,165070
20125,MONTGOMERY,KS,2156543
20127,MORRIS,KS,118156
20129,MORTON,KS,273917
20131,NEMAHA,KS,356740
20133,NEOSHO,KS,826054
20135,NESS,KS,105897
20137,NORTON,KS,223354
20139,OSAGE,KS,265459
20141,OSBORNE,KS,121331
20143,OTTAWA,KS,160604
20145,PAWNEE,KS,242607
20147,PHILLIPS,KS,154454
20149,POTTAWATOMIE,KS,377843
20151,PRATT,KS,823880
20153,RAWLINS,KS,53469
20155,RENO,KS,2684791
20157,REPUBLIC,KS,273843
20159,RICE,KS,285830
20161,RILEY,KS,1897173
20163,ROOKS,KS,166504
20165,RUSH,KS,49723
20167,RUSSELL,KS,208799
20169,SALINE,KS,2503130
20171,SCOTT,KS,203637
20173,SEDGWICK,KS,23468874
20175,SEWARD,KS,846810
20177,SHAWNEE,KS,5927539
20179,SHERIDAN,KS,63129
20181,SHERMAN,KS,393681
20183,SMITH,KS,144960
20187,STANTON,KS,68249
20189,STEVENS,KS,97537
20191,SUMNER,KS,897007
20193,THOMAS,KS,413313
20195,TREGO,KS,124840
20197,WABAUNSEE,KS,200
20199,WALLACE,KS,15800
20201,WASHINGTON,KS,82539
20203,WICHITA,KS,41167
20205,WILSON,KS,335359
20207,WOODSON,KS,87163
20209,WYANDOTTE,KS,5228550
21001,ADAIR,KY,934649
21003,ALLEN,KY,1353193
21005,ANDERSON,KY,1169616
21007,BALLARD,KY,353430
21009,BARREN,KY,3107304
21011,BATH,KY,346099
21013,BELL,KY,4493689
21015,BOONE,KY,7403176
21017,BOURBON,KY,1002884
21019,BOYD,KY,5259919
21021,BOYLE,KY,2316360
21023,BRACKEN,KY,171554
21025,BREATHITT,KY,1540421
21027,BRECKINRIDGE,KY,920519
21029,BULLITT,KY,2966830
21031,BUTLER,KY,1075736
21033,CALDWELL,KY,1140820
21035,CALLOWAY,KY,2090834
21037,CAMPBELL,KY,4895351
21039,CARLISLE,KY,210647
21041,CARROLL,KY,819833
21043,CARTER,KY,1376137
21045,CASEY,KY,570263
21047,CHRISTIAN,KY,3070321
21049,CLARK,KY,2557341
21051,CLAY,KY,3000547
21053,CLINTON,KY,1472611
21055,CRITTENDEN,KY,1105543
21057,CUMBERLAND,KY,587196
21059,DAVIESS,KY,5462956
21061,EDMONSON,KY,427943
21063,ELLIOTT,KY,270749
21065,ESTILL,KY,928302
21067,FAYETTE,KY,11564205
21069,FLEMING,KY,674001
21071,FLOYD,KY,6765776
21073,FRANKLIN,KY,2356759
21075,FULTON,KY,685167
21077,GALLATIN,KY,306379
21079,GARRARD,KY,608759
21081,GRANT,KY,2316541
21083,GRAVES,KY,2011051
21085,GRAYSON,KY,1939707
21087,GREEN,KY,441014
21089,GREENUP,KY,2260834
21091,HANCOCK,KY,128303
21093,HARDIN,KY,3748930
21095,HARLAN,KY,2368979
21097,HARRISON,KY,786101
21099,HART,KY,510253
21101,HENDERSON,KY,3721556
21103,HENRY,KY,574097
21105,HICKMAN,KY,136794
21107,HOPKINS,KY,4508697
21109,JACKSON,KY,634974
21111,JEFFERSON,KY,44014889
21113,JESSAMINE,KY,2414207
21115,JOHNSON,KY,3560364
21117,KENTON,KY,8456799
21119,KNOTT,KY,680964
21121,KNOX,KY,1991948
21123,LARUE,KY,542280
21125,LAUREL,KY,3738230
21127,LAWRENCE,KY,1721967
21129,LEE,KY,1035880
21131,LESLIE,KY,1253873
21133,LETCHER,KY,2036921
21135,LEWIS,KY,542203
21137,LINCOLN,KY,1050709
21139,LIVINGSTON,KY,828356
21141,LOGAN,KY,1072586
21143,LYON,KY,520313
21145,MCCRACKEN,KY,6971419
21147,MCCREARY,KY,1100167
21149,MCLEAN,KY,227116
21151,MADISON,KY,4327980
21153,MAGOFFIN,KY,581206
21155,MARION,KY,995671
21157,MARSHALL,KY,1980834
21159,MARTIN,KY,709924
21161,MASON,KY,927810
21163,MEADE,KY,795004
21165,MENIFEE,KY,228829
21167,MERCER,KY,1051384
21169,METCALFE,KY,286906
21171,MONROE,KY,894470
21173,MONTGOMERY,KY,2164564
21175,MORGAN,KY,580461
21177,MUHLENBERG,KY,2599321
21179,NELSON,KY,2305797
21181,NICHOLAS,KY,241801
21183,OHIO,KY,1540170
21185,OLDHAM,KY,1676999
21187,OWEN,KY,374390
21189,OWSLEY,KY,564603
21191,PENDLETON,KY,372074
21193,PERRY,KY,5036172
21195,PIKE,KY,9540731
21197,POWELL,KY,896270
21199,PULASKI,KY,4149177
21203,ROCKCASTLE,KY,1754660
21205,ROWAN,KY,1144731
21207,RUSSELL,KY,1321097
21209,SCOTT,KY,2092224
21211,SHELBY,KY,1787490
21213,SIMPSON,KY,1238126
21215,SPENCER,KY,572581
21217,TAYLOR,KY,1315507
21219,TODD,KY,462083
21221,TRIGG,KY,700151
21223,TRIMBLE,KY,169570
21225,UNION,KY,1186826
21227,WARREN,KY,5245724
21229,WASHINGTON,KY,275541
21231,WAYNE,KY,1283753
21233,WEBSTER,KY,809403
21235,WHITLEY,KY,6811084
21237,WOLFE,KY,671150
21239,WOODFORD,KY,789037
22001,ACADIA,LA,2441138
22003,ALLEN,LA,1237554
22005,ASCENSION,LA,5023590
22007,ASSUMPTION,LA,266930
22009,AVOYELLES,LA,1935266
22011,BEAUREGARD,LA,1200511
22013,BIENVILLE,LA,305784
22015,BOSSIER,LA,3459936
22017,CADDO,LA,10561076
22019,CALCASIEU,LA,8005055
22021,CALDWELL,LA,515141
22023,CAMERON,LA,3200
22025,CATAHOULA,LA,481733
22027,CLAIBORNE,LA,775594
22029,CONCORDIA,LA,737482
22031,DE SOTO,LA,531361
22033,EAST BATON ROUGE,LA,19884274
22035,EAST CARROLL,LA,157247
22037,EAST FELICIANA,LA,418636
22039,EVANGELINE,LA,2439476
22041,FRANKLIN,LA,609559
22043,GRANT,LA,307430
22045,IBERIA,LA,3055867
22047,IBERVILLE,LA,1526040
22049,JACKSON,LA,489840
22051,JEFFERSON,LA,27140193
22053,JEFFERSON DAVIS,LA,1614251
22055,LAFAYETTE,LA,12377164
22057,LAFOURCHE,LA,4119666
22059,LA SALLE,LA,767136
22061,LINCOLN,LA,1165814
22063,LIVINGSTON,LA,7558599
22065,MADISON,LA,289217
22067,MOREHOUSE,LA,872320
22069,NATCHITOCHES,LA,888713
22071,ORLEANS,LA,7148240
22073,OUACHITA,LA,5046216
22075,PLAQUEMINES,LA,263439
22077,POINTE COUPEE,LA,718894
22079,RAPIDES,LA,7405516
22081,RED RIVER,LA,399447
22083,RICHLAND,LA,769209
22085,SABINE,LA,810633
22087,SAINT BERNARD,LA,2084926
22089,SAINT CHARLES,LA,2048481
22091,SAINT HELENA,LA,150777
22093,SAINT JAMES,LA,445671
22095,ST JOHN THE BAPTIST,LA,1409934
22097,SAINT LANDRY,LA,4861590
22099,SAINT MARTIN,LA,1780599
22101,SAINT MARY,LA,2597160
22103,SAINT TAMMANY,LA,13637764
22105,TANGIPAHOA,LA,6547679
22107,TENSAS,LA,82620
22109,TERREBONNE,LA,4487327
22111,UNION,LA,471369
22113,VERMILION,LA,1839201
22115,VERNON,LA,1726389
22117,WASHINGTON,LA,2690156
22119,WEBSTER,LA,1656460
22121,WEST BATON ROUGE,LA,1027034
22123,WEST CARROLL,LA,272057
22125,WEST FELICIANA,LA,222667
22127,WINN,LA,611356
23001,ANDROSCOGGIN,ME,5030733
23003,AROOSTOOK,ME,3017944
23005,CUMBERLAND,ME,10878284
23007,FRANKLIN,ME,1290921
23009,HANCOCK,ME,2254497
23011,KENNEBEC,ME,6047633
23013,KNOX,ME,1552493
23015,LINCOLN,ME,1272583
23017,OXFORD,ME,2108256
23019,PENOBSCOT,ME,8531533
23021,PISCATAQUIS,ME,848023
23023,SAGADAHOC,ME,1266016
23025,SOMERSET,ME,2712841
23027,WALDO,ME,1410406
23029,WASHINGTON,ME,1571349
23031,YORK,ME,7033240
24001,ALLEGANY,MD,4247704
24003,ANNE ARUNDEL,MD,17794264
24005,BALTIMORE,MD,30346224
24009,CALVERT,MD,3878629
24011,CAROLINE,MD,792554
24013,CARROLL,MD,5129078
24015,CECIL,MD,5161716
24017,CHARLES,MD,4987255
24019,DORCHESTER,MD,851777
24021,FREDERICK,MD,6867947
24023,GARRETT,MD,1004054
24025,HARFORD,MD,10160670
24027,HOWARD,MD,6590348
24029,KENT,MD,1188251
24031,MONTGOMERY,MD,14861660
24033,PRINCE GEORGES,MD,14279754
24035,QUEEN ANNES,MD,1430255
24037,SAINT MARYS,MD,3471539
24039,SOMERSET,MD,568657
24041,TALBOT,MD,1225930
24043,WASHINGTON,MD,5924823
24045,WICOMICO,MD,4286850
24047,WORCESTER,MD,2287639
24510,BALTIMORE CITY,MD,19103072
25001,BARNSTABLE,MA,7346723
25003,BERKSHIRE,MA,4657659
25005,BRISTOL,MA,19227872
25007,DUKES,MA,619636
25009,ESSEX,MA,24425697
25011,FRANKLIN,MA,1902141
25013,HAMPDEN,MA,17376346
25015,HAMPSHIRE,MA,4913839
25017,MIDDLESEX,MA,29127665
25019,NANTUCKET,MA,220051
25021,NORFOLK,MA,15606460
25023,PLYMOUTH,MA,15784122
25025,SUFFOLK,MA,14652762
25027,WORCESTER,MA,27176414
26001,ALCONA,MI,302933
26003,ALGER,MI,355284
26005,ALLEGAN,MI,2785527
26007,ALPENA,MI,1493887
26009,ANTRIM,MI,678907
26011,ARENAC,MI,803496
26013,BARAGA,MI,378524
26015,BARRY,MI,1443625
26017,BAY,MI,5124975
26019,BENZIE,MI,689376
26021,BERRIEN,MI,6329357
26023,BRANCH,MI,1344807
26025,CALHOUN,MI,7377088
26027,CASS,MI,820484
26029,CHARLEVOIX,MI,967889
26031,CHEBOYGAN,MI,1376300
26033,CHIPPEWA,MI,1495637
26035,CLARE,MI,2047926
26037,CLINTON,MI,2202441
26039,CRAWFORD,MI,969360
26041,DELTA,MI,1718078
26043,DICKINSON,MI,1536044
26045,EATON,MI,4260078
26047,EMMET,MI,1533486
26049,GENESEE,MI,21319033
26051,GLADWIN,MI,1586777
26053,GOGEBIC,MI,588081
26055,GRAND TRAVERSE,MI,4196928
26057,GRATIOT,MI,1253841
26059,HILLSDALE,MI,1269725
26061,HOUGHTON,MI,1248340
26063,HURON,MI,1222677
26065,INGHAM,MI,10144295
26067,IONIA,MI,1592971
26069,IOSCO,MI,1762116
26071,IRON,MI,523353
26073,ISABELLA,MI,2084613
26075,JACKSON,MI,6388727
26077,KALAMAZOO,MI,9065283
26079,KALKASKA,MI,784873
26081,KENT,MI,18260936
26085,LAKE,MI,273079
26087,LAPEER,MI,3078771
26089,LEELANAU,MI,231123
26091,LENAWEE,MI,3802947
26093,LIVINGSTON,MI,4837014
26095,LUCE,MI,436279
26097,MACKINAC,MI,374780
26099,MACOMB,MI,40770742
26101,MANISTEE,MI,1282845
26103,MARQUETTE,MI,2240463
26105,MASON,MI,1677156
26107,MECOSTA,MI,1666051
26109,MENOMINEE,MI,575871
26111,MIDLAND,MI,4539327
26113,MISSAUKEE,MI,293813
26115,MONROE,MI,7390070
26117,MONTCALM,MI,2785397
26119,MONTMORENCY,MI,612841
26121,MUSKEGON,MI,9704836
26123,NEWAYGO,MI,2402724
26125,OAKLAND,MI,44076561
26127,OCEANA,MI,1096744
26129,OGEMAW,MI,2738581
26131,ONTONAGON,MI,180086
26133,OSCEOLA,MI,870981
26135,OSCODA,MI,507369
26137,OTSEGO,MI,1401104
26139,OTTAWA,MI,5803734
26141,PRESQUE ISLE,MI,378899
26143,ROSCOMMON,MI,1845624
26145,SAGINAW,MI,8715773
26147,SAINT CLAIR,MI,7500274
26149,SAINT JOSEPH,MI,2484130
26151,SANILAC,MI,1188249
26153,SCHOOLCRAFT,MI,484451
26155,SHIAWASSEE,MI,3161071
26157,TUSCOLA,MI,1646727
26159,VAN BUREN,MI,3702120
26161,WASHTENAW,MI,9023251
26163,WAYNE,MI,88296166
26165,WEXFORD,MI,2105077
27001,AITKIN,MN,520527
27003,ANOKA,MN,8252441
27005,BECKER,MN,660719
27007,BELTRAMI,MN,800643
27009,BENTON,MN,713580
27011,BIG STONE,MN,148703
27013,BLUE EARTH,MN,1267232
27015,BROWN,MN,513366
27017,CARLTON,MN,1423120
27019,CARVER,MN,1492337
27021,CASS,MN,416083
27023,CHIPPEWA,MN,186829
27025,CHISAGO,MN,936756
27027,CLAY,MN,1041873
27029,CLEARWATER,MN,200596
27031,COOK,MN,174266
27033,COTTONWOOD,MN,214207
27035,CROW WING,MN,1829576
27037,DAKOTA,MN,7749734
27039,DODGE,MN,96349
27041,DOUGLAS,MN,995686
27043,FARIBAULT,MN,216067
27045,FILLMORE,MN,217310
27047,FREEBORN,MN,653900
27049,GOODHUE,MN,1014772
27051,GRANT,MN,99654
27053,HENNEPIN,MN,27918821
27055,HOUSTON,MN,270129
27057,HUBBARD,MN,514947
27059,ISANTI,MN,1253231
27061,ITASCA,MN,1441949
27063,JACKSON,MN,90777
27065,KANABEC,MN,463056
27067,KANDIYOHI,MN,664759
27069,KITTSON,MN,49784
27071,KOOCHICHING,MN,415670
27073,LAC QUI PARLE,MN,88969
27075,LAKE,MN,226056
27077,LAKE OF THE WOODS,MN,99350
27079,LE SUEUR,MN,224376
27081,LINCOLN,MN,88163
27083,LYON,MN,426971
27085,MCLEOD,MN,1021582
27087,MAHNOMEN,MN,105431
27089,MARSHALL,MN,52777
27091,MARTIN,MN,621874
27093,MEEKER,MN,332295
27095,MILLE LACS,MN,1310000
27097,MORRISON,MN,702443
27099,MOWER,MN,796160
27101,MURRAY,MN,52809
27103,NICOLLET,MN,220793
27105,NOBLES,MN,291536
27107,NORMAN,MN,114594
27109,OLMSTED,MN,3543349
27111,OTTER TAIL,MN,1121507
27113,PENNINGTON,MN,515609
27115,PINE,MN,658664
27117,PIPESTONE,MN,223746
27119,POLK,MN,659167
27121,POPE,MN,204043
27123,RAMSEY,MN,12340728
27125,RED LAKE,MN,27717
27127,REDWOOD,MN,213403
27129,RENVILLE,MN,158384
27131,RICE,MN,1147719
27133,ROCK,MN,207937
27135,ROSEAU,MN,335879
27137,SAINT LOUIS,MN,7839367
27139,SCOTT,MN,1965647
27141,SHERBURNE,MN,1434794
27143,SIBLEY,MN,172207
27145,STEARNS,MN,2941885
27147,STEELE,MN,776473
27149,STEVENS,MN,113626
27151,SWIFT,MN,129579
27153,TODD,MN,566701
27155,TRAVERSE,MN,69890
27157,WABASHA,MN,254929
27159,WADENA,MN,470359
27161,WASECA,MN,278764
27163,WASHINGTON,MN,5793948
27165,WATONWAN,MN,165666
27167,WILKIN,MN,144791
27169,WINONA,MN,1306016
27171,WRIGHT,MN,2594577
27173,YELLOW MEDICINE,MN,168249
28001,ADAMS,MS,2388191
28003,ALCORN,MS,3179590
28005,AMITE,MS,260044
28007,ATTALA,MS,675823
28009,BENTON,MS,170027
28011,BOLIVAR,MS,681154
28013,CALHOUN,MS,475021
28015,CARROLL,MS,47557
28017,CHICKASAW,MS,943826
28019,CHOCTAW,MS,236671
28021,CLAIBORNE,MS,196843
28023,CLARKE,MS,794586
28025,CLAY,MS,835887
28027,COAHOMA,MS,1103253
28029,COPIAH,MS,892757
28031,COVINGTON,MS,828786
28033,DESOTO,MS,5449888
28035,FORREST,MS,6515083
28037,FRANKLIN,MS,347160
28039,GEORGE,MS,1494674
28041,GREENE,MS,280824
28043,GRENADA,MS,1046614
28045,HANCOCK,MS,1761456
28047,HARRISON,MS,10027254
28049,HINDS,MS,5357765
28051,HOLMES,MS,353611
28053,HUMPHREYS,MS,103260
28057,ITAWAMBA,MS,1524181
28059,JACKSON,MS,7282602
28061,JASPER,MS,268171
28063,JEFFERSON,MS,76727
28065,JEFFERSON DAVIS,MS,474791
28067,JONES,MS,3748627
28069,KEMPER,MS,298431
28071,LAFAYETTE,MS,1083441
28073,LAMAR,MS,1161127
28075,LAUDERDALE,MS,5163656
28077,LAWRENCE,MS,578663
28079,LEAKE,MS,798673
28081,LEE,MS,3789932
28083,LEFLORE,MS,967870
28085,LINCOLN,MS,1452464
28087,LOWNDES,MS,2439719
28089,MADISON,MS,3398940
28091,MARION,MS,2532374
28093,MARSHALL,MS,399303
28095,MONROE,MS,1340129
28097,MONTGOMERY,MS,360628
28099,NESHOBA,MS,2173410
28101,NEWTON,MS,549503
28103,NOXUBEE,MS,272614
28105,OKTIBBEHA,MS,1084024
28107,PANOLA,MS,1201084
28109,PEARL RIVER,MS,2848727
28111,PERRY,MS,448617
28113,PIKE,MS,2401708
28115,PONTOTOC,MS,968619
28117,PRENTISS,MS,887767
28119,QUITMAN,MS,174733
28121,RANKIN,MS,5309160
28123,SCOTT,MS,917044
28125,SHARKEY,MS,128294
28127,SIMPSON,MS,1654846
28129,SMITH,MS,228461
28131,STONE,MS,1229580
28133,SUNFLOWER,MS,559214
28135,TALLAHATCHIE,MS,216086
28137,TATE,MS,1013581
28139,TIPPAH,MS,962913
28141,TISHOMINGO,MS,1590407
28143,TUNICA,MS,170621
28145,UNION,MS,1113327
28147,WALTHALL,MS,696217
28149,WARREN,MS,2112467
28151,WASHINGTON,MS,1499783
28153,WAYNE,MS,1706726
28155,WEBSTER,MS,499847
28157,WILKINSON,MS,377077
28159,WINSTON,MS,591314
28161,YALOBUSHA,MS,221440
28163,YAZOO,MS,681756
29001,ADAIR,MO,1237366
29003,ANDREW,MO,325057
29005,ATCHISON,MO,153623
29007,AUDRAIN,MO,697950
29009,BARRY,MO,2253925
29011,BARTON,MO,605774
29013,BATES,MO,776386
29015,BENTON,MO,1008391
29017,BOLLINGER,MO,370059
29019,BOONE,MO,4452687
29021,BUCHANAN,MO,5535801
29023,BUTLER,MO,4211649
29025,CALDWELL,MO,111200
29027,CALLAWAY,MO,963457
29029,CAMDEN,MO,2178664
29031,CAPE GIRARDEAU,MO,4069802
29033,CARROLL,MO,403544
29035,CARTER,MO,161497
29037,CASS,MO,3787206
29039,CEDAR,MO,628110
29041,CHARITON,MO,129711
29043,CHRISTIAN,MO,2949290
29045,CLARK,MO,229909
29047,CLAY,MO,8399046
29049,CLINTON,MO,850241
29051,COLE,MO,2794082
29053,COOPER,MO,410557
29055,CRAWFORD,MO,1075839
29057,DADE,MO,319507
29059,DALLAS,MO,564086
29061,DAVIESS,MO,108199
29063,DEKALB,MO,106434
29065,DENT,MO,937264
29067,DOUGLAS,MO,487946
29069,DUNKLIN,MO,2741400
29071,FRANKLIN,MO,4771917
29073,GASCONADE,MO,630273
29075,GENTRY,MO,182530
29077,GREENE,MO,14664662
29079,GRUNDY,MO,418420
29081,HARRISON,MO,402770
29083,HENRY,MO,1497973
29085,HICKORY,MO,249627
29087,HOLT,MO,61957
29089,HOWARD,MO,146537
29091,HOWELL,MO,2819283
29093,IRON,MO,500276
29095,JACKSON,MO,23724471
29097,JASPER,MO,6014851
29099,JEFFERSON,MO,7706836
29101,JOHNSON,MO,1092624
29103,KNOX,MO,3367
29105,LACLEDE,MO,1693064
29107,LAFAYETTE,MO,926570
29109,LAWRENCE,MO,1482883
29111,LEWIS,MO,282653
29113,LINCOLN,MO,1625737
29115,LINN,MO,484153
29117,LIVINGSTON,MO,945836
29119,MCDONALD,MO,738089
29121,MACON,MO,501469
29123,MADISON,MO,629627
29125,MARIES,MO,320773
29127,MARION,MO,1370539
29129,MERCER,MO,69260
29131,MILLER,MO,579551
29133,MISSISSIPPI,MO,952210
29135,MONITEAU,MO,248186
29137,MONROE,MO,151994
29139,MONTGOMERY,MO,408037
29141,MORGAN,MO,799923
29143,NEW MADRID,MO,522186
29145,NEWTON,MO,1366589
29147,NODAWAY,MO,476777
29149,OREGON,MO,398727
29151,OSAGE,MO,108747
29153,OZARK,MO,330031
29155,PEMISCOT,MO,1660844
29157,PERRY,MO,487777
29159,PETTIS,MO,1200496
29161,PHELPS,MO,3723218
29163,PIKE,MO,786141
29165,PLATTE,MO,2640947
29167,POLK,MO,1673309
29169,PULASKI,MO,1673327
29171,PUTNAM,MO,102736
29173,RALLS,MO,1500
29175,RANDOLPH,MO,824404
29177,RAY,MO,999284
29179,REYNOLDS,MO,237419
29181,RIPLEY,MO,1110587
29183,SAINT CHARLES,MO,10053423
29185,SAINT CLAIR,MO,201171
29186,SAINTE GENEVIEVE,MO,284353
29187,SAINT FRANCOIS,MO,5851537
29189,SAINT LOUIS,MO,31253601
29195,SALINE,MO,790969
29199,SCOTLAND,MO,153859
29201,SCOTT,MO,3150857
29203,SHANNON,MO,220914
29205,SHELBY,MO,141193
29207,STODDARD,MO,1911057
29209,STONE,MO,1401593
29211,SULLIVAN,MO,221523
29213,TANEY,MO,2610771
29215,TEXAS,MO,792104
29217,VERNON,MO,864587
29219,WARREN,MO,905967
29221,WASHINGTON,MO,1496581
29223,WAYNE,MO,558620
29225,WEBSTER,MO,1517666
29227,WORTH,MO,37820
29229,WRIGHT,MO,1045047
29510,SAINT LOUIS CITY,MO,7640078
30001,BEAVERHEAD,MT,257313
30003,BIG HORN,MT,209041
30005,BLAINE,MT,87966
30007,BROADWATER,MT,90871
30009,CARBON,MT,97786
30011,CARTER,MT,100
30013,CASCADE,MT,3488483
30015,CHOUTEAU,MT,114866
30017,CUSTER,MT,501513
30019,DANIELS,MT,32343
30021,DAWSON,MT,314063
30023,DEER LODGE,MT,337756
30025,FALLON,MT,94357
30027,FERGUS,MT,326279
30029,FLATHEAD,MT,4580615
30031,GALLATIN,MT,1896310
30033,GARFIELD,MT,4200
30035,GLACIER,MT,345360
30039,GRANITE,MT,23033
30041,HILL,MT,706843
30043,JEFFERSON,MT,107610
30045,JUDITH BASIN,MT,200
30047,LAKE,MT,1329837
30049,LEWIS AND CLARK,MT,2241363
30051,LIBERTY,MT,19857
30053,LINCOLN,MT,1193116
30057,MADISON,MT,140514
30059,MEAGHER,MT,41889
30061,MINERAL,MT,192354
30063,MISSOULA,MT,4159206
30065,MUSSELSHELL,MT,127300
30067,PARK,MT,515253
30071,PHILLIPS,MT,102176
30073,PONDERA,MT,198233
30075,POWDER RIVER,MT,40414
30077,POWELL,MT,224604
30081,RAVALLI,MT,1706149
30083,RICHLAND,MT,259140
30085,ROOSEVELT,MT,168704
30087,ROSEBUD,MT,128849
30089,SANDERS,MT,524441
30091,SHERIDAN,MT,81266
30093,SILVER BOW,MT,1627450
30095,STILLWATER,MT,166760
30097,SWEET GRASS,MT,69986
30099,TETON,MT,185363
30101,TOOLE,MT,138241
30105,VALLEY,MT,326697
30107,WHEATLAND,MT,22800
30111,YELLOWSTONE,MT,5546052
31001,ADAMS,NE,791005
31003,ANTELOPE,NE,63086
31011,BOONE,NE,166740
31013,BOX BUTTE,NE,306581
31015,BOYD,NE,35286
31017,BROWN,NE,82521
31019,BUFFALO,NE,785750
31021,BURT,NE,120903
31023,BUTLER,NE,101121
31025,CASS,NE,305260
31027,CEDAR,NE,61311
31029,CHASE,NE,95776
31031,CHERRY,NE,189871
31033,CHEYENNE,NE,369517
31035,CLAY,NE,24317
31037,COLFAX,NE,51741
31039,CUMING,NE,133869
31041,CUSTER,NE,284793
31043,DAKOTA,NE,375737
31045,DAWES,NE,246943
31047,DAWSON,NE,410460
31049,DEUEL,NE,34071
31051,DIXON,NE,20171
31053,DODGE,NE,1343894
31055,DOUGLAS,NE,14034353
31057,DUNDY,NE,79000
31059,FILLMORE,NE,114420
31061,FRANKLIN,NE,121433
31065,FURNAS,NE,144310
31067,GAGE,NE,670520
31069,GARDEN,NE,43661
31071,GARFIELD,NE,73236
31075,GRANT,NE,300
31077,GREELEY,NE,11700
31079,HALL,NE,1654586
31081,HAMILTON,NE,103064
31083,HARLAN,NE,55071
31089,HOLT,NE,241803
31093,HOWARD,NE,155737
31095,JEFFERSON,NE,183417
31097,JOHNSON,NE,145606
31099,KEARNEY,NE,76820
31101,KEITH,NE,312259
31105,KIMBALL,NE,199391
31107,KNOX,NE,181854
31109,LANCASTER,NE,7060550
31111,LINCOLN,NE,1332721
31119,MADISON,NE,815291
31121,MERRICK,NE,136421
31123,MORRILL,NE,98229
31125,NANCE,NE,66000
31127,NEMAHA,NE,274137
31129,NUCKOLLS,NE,184543
31131,OTOE,NE,434699
31133,PAWNEE,NE,84909
31135,PERKINS,NE,40143
31137,PHELPS,NE,214676
31139,PIERCE,NE,75757
31141,PLATTE,NE,609251
31143,POLK,NE,60177
31145,RED WILLOW,NE,333257
31147,RICHARDSON,NE,358494
31151,SALINE,NE,343440
31153,SARPY,NE,3620097
31155,SAUNDERS,NE,368944
31157,SCOTTS BLUFF,NE,1356827
31159,SEWARD,NE,335207
31161,SHERIDAN,NE,69401
31163,SHERMAN,NE,22849
31169,THAYER,NE,122016
31173,THURSTON,NE,77614
31175,VALLEY,NE,182854
31177,WASHINGTON,NE,343364
31179,WAYNE,NE,119074
31181,WEBSTER,NE,109629
31185,YORK,NE,462037
32001,CHURCHILL,NV,1344709
32003,CLARK,NV,106444420
32005,DOUGLAS,NV,2413284
32007,ELKO,NV,1726574
32011,EUREKA,NV,100
32013,HUMBOLDT,NV,637306
32015,LANDER,NV,221244
32017,LINCOLN,NV,228941
32019,LYON,NV,2192808
32021,MINERAL,NV,310730
32023,NYE,NV,4222549
32027,PERSHING,NV,74425
32031,WASHOE,NV,19059400
32033,WHITE PINE,NV,762751
32510,CARSON CITY,NV,3586455
33001,BELKNAP,NH,2066994
33003,CARROLL,NH,1586273
33005,CHESHIRE,NH,2132431
33007,COOS,NH,1174274
33009,GRAFTON,NH,3386297
33011,HILLSBOROUGH,NH,9791532
33013,MERRIMACK,NH,5390870
33015,ROCKINGHAM,NH,9027397
33017,STRAFFORD,NH,4461244
33019,SULLIVAN,NH,1119841
34001,ATLANTIC,NJ,10517300
34003,BERGEN,NJ,16924468
34005,BURLINGTON,NJ,14120482
34007,CAMDEN,NJ,21718117
