"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Schley County, GA"	"13249"	Suppressed	33784	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Screven County, GA"	"13251"	Suppressed	102659	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Seminole County, GA"	"13253"	Suppressed	61723	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Spalding County, GA"	"13255"	35	444410	7.9	5.5	11.0	1.3	7.9	5.5	11.1	1.4	0.0%
	"Stephens County, GA"	"13257"	22	181207	12.1	7.6	18.4	2.6	12.0	7.4	18.4	2.6	0.0%
	"Stewart County, GA"	"13259"	Suppressed	41110	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sumter County, GA"	"13261"	Suppressed	228392	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Talbot County, GA"	"13263"	Suppressed	47890	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Taliaferro County, GA"	"13265"	Suppressed	12408	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Tattnall County, GA"	"13267"	Suppressed	172322	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Taylor County, GA"	"13269"	Suppressed	61290	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Telfair County, GA"	"13271"	Suppressed	112669	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Terrell County, GA"	"13273"	Suppressed	66593	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Thomas County, GA"	"13275"	Suppressed	311632	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Tift County, GA"	"13277"	Suppressed	281420	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Toombs County, GA"	"13279"	Suppressed	190432	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Towns County, GA"	"13281"	15	73239	Unreliable	11.5	33.8	5.3	Unreliable	12.9	39.7	6.4	0.0%
	"Treutlen County, GA"	"13283"	Suppressed	47776	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Troup County, GA"	"13285"	24	464349	5.2	3.3	7.7	1.1	5.4	3.5	8.1	1.1	0.0%
	"Turner County, GA"	"13287"	Suppressed	62388	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Twiggs County, GA"	"13289"	Suppressed	64208	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Union County, GA"	"13291"	Suppressed	148012	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Upson County, GA"	"13293"	11	190213	Unreliable	2.9	10.3	1.7	Unreliable	3.1	11.1	1.9	0.0%
	"Walker County, GA"	"13295"	35	476161	7.4	5.1	10.2	1.2	8.0	5.5	11.2	1.4	0.0%
	"Walton County, GA"	"13297"	31	576375	5.4	3.7	7.6	1.0	5.3	3.6	7.6	1.0	0.0%
	"Ware County, GA"	"13299"	16	252297	Unreliable	3.6	10.3	1.6	Unreliable	3.5	10.4	1.6	0.0%
	"Warren County, GA"	"13301"	Suppressed	41008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, GA"	"13303"	Suppressed	147579	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, GA"	"13305"	25	209139	12.0	7.7	17.6	2.4	12.4	8.0	18.3	2.5	0.0%
	"Webster County, GA"	"13307"	Suppressed	19230	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wheeler County, GA"	"13309"	Suppressed	51288	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"White County, GA"	"13311"	21	187296	11.2	6.9	17.1	2.4	12.2	7.5	18.9	2.7	0.0%
	"Whitfield County, GA"	"13313"	57	705759	8.1	6.1	10.5	1.1	8.3	6.3	10.8	1.1	0.0%
	"Wilcox County, GA"	"13315"	Suppressed	63557	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilkes County, GA"	"13317"	Suppressed	73191	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilkinson County, GA"	"13319"	Suppressed	67470	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Worth County, GA"	"13321"	Suppressed	152270	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hawaii County, HI"	"15001"	81	1277412	6.3	5.0	7.9	0.7	6.2	4.9	7.8	0.7	0.1%
	"Honolulu County, HI"	"15003"	326	6622332	4.9	4.4	5.5	0.3	4.8	4.3	5.3	0.3	0.2%
	"Kalawao County, HI"	"15005"	Suppressed	676	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Kauai County, HI"	"15007"	15	463302	Unreliable	1.8	5.3	0.8	Unreliable	1.7	5.1	0.8	0.0%
	"Maui County, HI"	"15009"	33	1068038	3.1	2.1	4.3	0.5	3.0	2.1	4.3	0.5	0.0%
	"Ada County, ID"	"16001"	195	2712329	7.2	6.2	8.2	0.5	7.1	6.1	8.1	0.5	0.1%
	"Adams County, ID"	"16003"	Suppressed	27626	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bannock County, ID"	"16005"	19	570762	Unreliable	2.0	5.2	0.8	Unreliable	2.2	5.9	0.9	0.0%
	"Bear Lake County, ID"	"16007"	Suppressed	42055	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Benewah County, ID"	"16009"	Suppressed	64838	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bingham County, ID"	"16011"	Suppressed	313746	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Blaine County, ID"	"16013"	Suppressed	149039	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Boise County, ID"	"16015"	Suppressed	49467	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bonner County, ID"	"16017"	Suppressed	284801	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bonneville County, ID"	"16019"	18	713163	Unreliable	1.5	4.0	0.6	Unreliable	1.6	4.3	0.6	0.0%
	"Boundary County, ID"	"16021"	Suppressed	75518	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Butte County, ID"	"16023"	Suppressed	19758	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Camas County, ID"	"16025"	Suppressed	7747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Canyon County, ID"	"16027"	21	1298691	1.6	1.0	2.5	0.4	1.7	1.1	2.6	0.4	0.0%
	"Caribou County, ID"	"16029"	Suppressed	48121	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cassia County, ID"	"16031"	Suppressed	156846	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, ID"	"16033"	Suppressed	6637	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clearwater County, ID"	"16035"	Suppressed	61142	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, ID"	"16037"	Suppressed	30050	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Elmore County, ID"	"16039"	Suppressed	185828	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, ID"	"16041"	Suppressed	88111	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Fremont County, ID"	"16043"	Suppressed	91387	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Gem County, ID"	"16045"	13	117272	Unreliable	5.9	19.0	3.1	Unreliable	5.7	19.2	3.2	0.0%
	"Gooding County, ID"	"16047"	Suppressed	106428	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho County, ID"	"16049"	Suppressed	112463	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, ID"	"16051"	Suppressed	175505	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jerome County, ID"	"16053"	10	151494	Unreliable	3.2	12.1	2.1	Unreliable	3.3	12.8	2.2	0.0%
	"Kootenai County, ID"	"16055"	57	957338	6.0	4.5	7.7	0.8	5.9	4.4	7.7	0.8	0.0%
	"Latah County, ID"	"16057"	11	259025	Unreliable	2.1	7.6	1.3	Unreliable	2.1	8.9	1.5	0.0%
	"Lemhi County, ID"	"16059"	Suppressed	55008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lewis County, ID"	"16061"	Suppressed	26522	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, ID"	"16063"	Suppressed	35563	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, ID"	"16065"	Suppressed	257296	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Minidoka County, ID"	"16067"	Suppressed	137768	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Nez Perce County, ID"	"16069"	18	273431	Unreliable	3.9	10.4	1.6	Unreliable	4.3	11.7	1.7	0.0%
	"Oneida County, ID"	"16071"	Suppressed	29478	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Owyhee County, ID"	"16073"	Suppressed	79834	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Payette County, ID"	"16075"	Suppressed	157522	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Power County, ID"	"16077"	Suppressed	53649	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Shoshone County, ID"	"16079"	Suppressed	89995	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Teton County, ID"	"16081"	Suppressed	67258	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Twin Falls County, ID"	"16083"	38	530956	7.2	5.1	9.8	1.2	7.7	5.4	10.6	1.3	0.0%
	"Valley County, ID"	"16085"	Suppressed	68489	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, ID"	"16087"	Suppressed	70872	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, IL"	"17001"	24	469490	5.1	3.3	7.6	1.0	5.3	3.4	8.0	1.1	0.0%
	"Alexander County, IL"	"17003"	Suppressed	58060	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bond County, IL"	"17005"	Suppressed	124883	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Boone County, IL"	"17007"	13	376146	Unreliable	1.8	5.9	1.0	Unreliable	1.9	6.2	1.0	0.0%
	"Brown County, IL"	"17009"	Suppressed	48296	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bureau County, IL"	"17011"	13	244379	Unreliable	2.8	9.1	1.5	Unreliable	3.3	10.7	1.8	0.0%
	"Calhoun County, IL"	"17013"	Suppressed	35651	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, IL"	"17015"	Suppressed	108275	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cass County, IL"	"17017"	Suppressed	95152	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Champaign County, IL"	"17019"	82	1394045	5.9	4.7	7.3	0.6	6.7	5.3	8.4	0.8	0.1%
	"Christian County, IL"	"17021"	12	244195	Unreliable	2.5	8.6	1.4	Unreliable	2.7	9.2	1.5	0.0%
	"Clark County, IL"	"17023"	Suppressed	115121	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, IL"	"17025"	Suppressed	97142	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clinton County, IL"	"17027"	Suppressed	262921	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Coles County, IL"	"17029"	19	375361	Unreliable	3.0	7.9	1.2	Unreliable	3.5	9.3	1.4	0.0%
	"Cook County, IL"	"17031"	2779	36306395	7.7	7.4	7.9	0.1	7.6	7.3	7.9	0.1	1.9%
	"Crawford County, IL"	"17033"	Suppressed	138802	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, IL"	"17035"	Suppressed	77436	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"DeKalb County, IL"	"17037"	28	729537	3.8	2.6	5.5	0.7	4.0	2.6	5.9	0.8	0.0%
	"De Witt County, IL"	"17039"	Suppressed	116378	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Douglas County, IL"	"17041"	Suppressed	139760	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"DuPage County, IL"	"17043"	401	6406774	6.3	5.6	6.9	0.3	6.3	5.7	6.9	0.3	0.3%
	"Edgar County, IL"	"17045"	Suppressed	130511	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Edwards County, IL"	"17047"	Suppressed	46830	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Effingham County, IL"	"17049"	18	239803	Unreliable	4.4	11.9	1.8	Unreliable	4.4	12.2	1.8	0.0%
	"Fayette County, IL"	"17051"	Suppressed	154197	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ford County, IL"	"17053"	Suppressed	98553	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, IL"	"17055"	17	276656	Unreliable	3.6	9.8	1.5	Unreliable	3.6	10.4	1.6	0.0%
	"Fulton County, IL"	"17057"	14	259655	Unreliable	2.9	9.0	1.4	Unreliable	3.0	9.3	1.5	0.0%
	"Gallatin County, IL"	"17059"	Suppressed	39837	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, IL"	"17061"	Suppressed	97310	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Grundy County, IL"	"17063"	46	344051	13.4	9.8	17.8	2.0	13.1	9.6	17.5	1.9	0.0%
	"Hamilton County, IL"	"17065"	Suppressed	59067	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hancock County, IL"	"17067"	Suppressed	134069	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hardin County, IL"	"17069"	Suppressed	30559	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Henderson County, IL"	"17071"	Suppressed	51552	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, IL"	"17073"	Suppressed	352917	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Iroquois County, IL"	"17075"	19	209114	Unreliable	5.5	14.2	2.1	Unreliable	5.8	15.4	2.3	0.0%
	"Jackson County, IL"	"17077"	14	419611	Unreliable	1.8	5.6	0.9	Unreliable	2.1	6.6	1.1	0.0%
	"Jasper County, IL"	"17079"	Suppressed	68099	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, IL"	"17081"	10	273464	Unreliable	1.8	6.7	1.2	Unreliable	1.6	6.8	1.2	0.0%
	"Jersey County, IL"	"17083"	22	160361	13.7	8.6	20.8	2.9	15.1	9.3	23.1	3.3	0.0%
	"Jo Daviess County, IL"	"17085"	Suppressed	158925	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnson County, IL"	"17087"	Suppressed	88952	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Kane County, IL"	"17089"	126	3554668	3.5	2.9	4.2	0.3	3.6	2.9	4.2	0.3	0.1%
	"Kankakee County, IL"	"17091"	63	787186	8.0	6.1	10.2	1.0	8.4	6.5	10.8	1.1	0.0%
	"Kendall County, IL"	"17093"	34	762178	4.5	3.1	6.2	0.8	4.6	3.1	6.4	0.8	0.0%
	"Knox County, IL"	"17095"	25	369826	6.8	4.4	10.0	1.4	7.2	4.6	10.7	1.5	0.0%
	"Lake County, IL"	"17097"	414	4893101	8.5	7.6	9.3	0.4	8.5	7.6	9.3	0.4	0.3%
	"LaSalle County, IL"	"17099"	126	795518	15.8	13.1	18.6	1.4	17.1	14.0	20.1	1.5	0.1%
	"Lawrence County, IL"	"17101"	Suppressed	117601	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, IL"	"17103"	14	251092	Unreliable	3.0	9.4	1.5	Unreliable	3.0	9.6	1.5	0.0%
	"Livingston County, IL"	"17105"	36	272654	13.2	9.2	18.3	2.2	13.6	9.5	18.9	2.3	0.0%
	"Logan County, IL"	"17107"	Suppressed	212373	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"McDonough County, IL"	"17109"	Suppressed	228770	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"McHenry County, IL"	"17111"	122	2146909	5.7	4.7	6.7	0.5	6.1	5.0	7.1	0.6	0.1%
	"McLean County, IL"	"17113"	84	1176109	7.1	5.7	8.8	0.8	7.3	5.8	9.0	0.8	0.1%
	"Macon County, IL"	"17115"	35	774499	4.5	3.1	6.3	0.8	4.8	3.3	6.7	0.8	0.0%
	"Macoupin County, IL"	"17117"	21	334776	6.3	3.9	9.6	1.4	6.8	4.2	10.5	1.5	0.0%
	"Madison County, IL"	"17119"	242	1876380	12.9	11.3	14.5	0.8	13.2	11.5	14.9	0.9	0.2%
	"Marion County, IL"	"17121"	28	276860	10.1	6.7	14.6	1.9	11.3	7.4	16.4	2.2	0.0%
	"Marshall County, IL"	"17123"	Suppressed	88688	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Mason County, IL"	"17125"	Suppressed	103458	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Massac County, IL"	"17127"	Suppressed	107816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Menard County, IL"	"17129"	Suppressed	88946	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Mercer County, IL"	"17131"	Suppressed	115344	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Monroe County, IL"	"17133"	21	228784	9.2	5.7	14.0	2.0	10.0	6.1	15.5	2.2	0.0%
	"Montgomery County, IL"	"17135"	14	210645	Unreliable	3.6	11.2	1.8	Unreliable	3.7	11.2	1.8	0.0%
	"Morgan County, IL"	"17137"	10	249627	Unreliable	1.9	7.4	1.3	Unreliable	1.8	7.6	1.3	0.0%
	"Moultrie County, IL"	"17139"	Suppressed	103364	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ogle County, IL"	"17141"	14	373875	Unreliable	2.0	6.3	1.0	Unreliable	2.4	7.3	1.2	0.0%
	"Peoria County, IL"	"17143"	107	1299809	8.2	6.7	9.8	0.8	8.4	6.8	10.0	0.8	0.1%
	"Perry County, IL"	"17145"	Suppressed	156768	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Piatt County, IL"	"17147"	Suppressed	116744	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, IL"	"17149"	Suppressed	115628	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pope County, IL"	"17151"	Suppressed	30772	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, IL"	"17153"	Suppressed	43360	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Putnam County, IL"	"17155"	Suppressed	41764	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, IL"	"17157"	16	234191	Unreliable	3.9	11.1	1.7	Unreliable	4.1	11.7	1.8	0.0%
	"Richland County, IL"	"17159"	Suppressed	113253	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Rock Island County, IL"	"17161"	41	1032661	4.0	2.8	5.4	0.6	4.2	3.0	5.8	0.7	0.0%
	"St. Clair County, IL"	"17163"	113	1872389	6.0	4.9	7.1	0.6	6.3	5.1	7.4	0.6	0.1%
	"Saline County, IL"	"17165"	Suppressed	175763	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sangamon County, IL"	"17167"	84	1374196	6.1	4.9	7.6	0.7	6.3	5.0	7.8	0.7	0.1%
	"Schuyler County, IL"	"17169"	Suppressed	52570	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Scott County, IL"	"17171"	Suppressed	37442	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Shelby County, IL"	"17173"	Suppressed	156248	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Stark County, IL"	"17175"	Suppressed	42058	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Stephenson County, IL"	"17177"	14	333541	Unreliable	2.3	7.0	1.1	Unreliable	2.6	7.9	1.3	0.0%
	"Tazewell County, IL"	"17179"	74	940886	7.9	6.2	9.9	0.9	8.4	6.6	10.6	1.0	0.1%
	"Union County, IL"	"17181"	Suppressed	125185	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Vermilion County, IL"	"17183"	52	572474	9.1	6.8	11.9	1.3	9.6	7.1	12.7	1.4	0.0%
	"Wabash County, IL"	"17185"	Suppressed	84297	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Warren County, IL"	"17187"	Suppressed	124277	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, IL"	"17189"	Suppressed	103355	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, IL"	"17191"	Suppressed	117483	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"White County, IL"	"17193"	Suppressed	103269	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Whiteside County, IL"	"17195"	12	410035	Unreliable	1.5	5.1	0.8	Unreliable	1.9	6.3	1.0	0.0%
	"Will County, IL"	"17197"	323	4702812	6.9	6.1	7.6	0.4	6.9	6.2	7.7	0.4	0.2%
	"Williamson County, IL"	"17199"	21	461181	4.6	2.8	7.0	1.0	5.0	3.1	7.7	1.1	0.0%
	"Winnebago County, IL"	"17201"	174	2056062	8.5	7.2	9.7	0.6	8.8	7.5	10.2	0.7	0.1%
	"Woodford County, IL"	"17203"	14	268969	Unreliable	2.8	8.7	1.4	Unreliable	3.3	10.2	1.6	0.0%
	"Adams County, IN"	"18001"	Suppressed	239536	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Allen County, IN"	"18003"	28	2474873	1.1	0.8	1.6	0.2	1.1	0.8	1.7	0.2	0.0%
